m,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Inclusion criteria met,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Training time (hours),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training compute cost (2020 USD),Self-supervised training,Architecture,Compute Sponsor Categorization,Abstract
PNASNet-5,,,"Johns Hopkins University, Stanford, Google AI",Industry - Academia Collaboration (Industry leaning),"C Liu, B Zoph, M Neumann, J Shlens",02/12/2017,2017,Progressive Neural Architecture Search,https://arxiv.org/abs/1712.00559,1.34E+03,Highly cited,Yes,,6.63E+19,Imagenet-1k,1.28E+06,,,,,,,,,,991.48,,,Industry,"We propose a new method for learning the structure of convolutional neural networks (CNNs) that is more efficient than recent state-of-the-art methods based on reinforcement learning and evolutionary algorithms. Our approach uses a sequential model-based optimization (SMBO) strategy, in which we search for structures in order of increasing complexity, while simultaneously learning a surrogate model to guide the search through structure space. Direct comparison under the same search space shows that our method is up to 5 times more efficient than the RL method of Zoph et al. (2018) in terms of number of models evaluated, and 8 times faster in terms of total compute. The structures we discover in this way achieve state of the art classification accuracies on CIFAR-10 and ImageNet."
Transformer,Language,Translation,Google Brain ; Google Research,Industry,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",12/06/2017,2017,Attention Is All You Need,https://proceedings.neurips.cc/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf,2.52E+04,Highly cited,Yes,2.13E+08,7.42E+18,,3.60E+08,,5.40E+10,,672,,,,,,111.17,Yes,,Industry,
DeepStack,Games,Poker,"University of Alberta, Charles University, Czech Technical University",Academia,"Matej Moravčík, Martin Schmid, Neil Burch, Viliam Lisý, Dustin Morrill, Nolan Bard, Trevor Davis, Kevin Waugh, Michael Johanson, Michael Bowling",06/01/2017,2017,DeepStack: Expert-Level Artificial Intelligence in No-Limit Poker,https://arxiv.org/abs/1701.01724,6.18E+02,,No,2.50E+06,1.50E+14,,1.00E+07,,,,,,,,,,0.00,,,Academia,
,VIsion,Image super-resolution,"Harbin Institute of Technology, Hong Kong Polytechnic University, ULSee Inc., Xi’an Jiaotong University",Industry - Academia Collaboration (Academia leaning),"Kai Zhang, Wangmeng Zuo, Yunjin Chen, Deyu Meng, Lei Zhang",01/02/2017,2017,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,https://ieeexplore.ieee.org/abstract/document/7839189,4.00E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Image classification,"University of Toronto, Twitter",Industry - Academia Collaboration," Jake Snell, Kevin Swersky, Richard S. Zemel",15/03/2017,2017,Prototypical Networks for Few-shot Learning,https://arxiv.org/abs/1703.05175,3.57E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
Mask R-CNN,Vision,Image segmentation,Facebook AI Research,Industry,"Kaiming He, Georgia Gkioxari, Piotr Dollár, Ross Girshick",30/03/2017,2017,Mask R-CNN,https://arxiv.org/abs/1703.06870,1.50E+04,Highly cited,Yes,,,COCO,,,,,352,195,,,,,,,,Industry,
,Vision,Image generation,"Montreal Institute for learning Algorithms, Courant Institute of Mathematical Sciences",Academia,"Ishaan Gulrajani, Faruk Ahmed, Martin Arjovsky, Vincent Dumoulin, Aaron Courville",31/03/2017,2017,Improved Training of Wasserstein GANs,https://arxiv.org/abs/1704.00028,6.04E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
MobileNet,Vision,,Google Inc.,Industry,"AG Howard, M Zhu, B Chen, D Kalenichenko",17/04/2017,2017,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,https://arxiv.org/abs/1704.04861,9.19E+03,Highly cited,Yes,4.20E+06,,,,,1.14E+09,,,,,,,,,,,Industry,
,Vision,Image segmentation,"Google Inc., University King College, Johns Hopkins University",Industry - Academia Collaboration,"Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, Alan L. Yuille",27/04/2017,2017,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",https://ieeexplore.ieee.org/abstract/document/7913730,1.01E+04,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Image super-resolution,Twitter,Industry,"Christian Ledig, Lucas Theis, Ferenc Huszar, Jose Caballero, Andrew Cunningham, Alejandro Acosta, Andrew Aitken, Alykhan Tejani, Johannes Totz, Zehan Wang, Wenzhe Shi",25/05/2017,2017,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,https://openaccess.thecvf.com/content_cvpr_2017/html/Ledig_Photo-Realistic_Single_Image_CVPR_2017_paper.html,7.18E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Action recognition,"DeepMind, University of Oxford",Industry - Academia Collaboration,"Joao Carreira, Andrew Zisserman",01/06/2017,2017,"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset",https://arxiv.org/abs/1705.07750,3.98E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
PointNet++,,3D segmentation,Stanford University,Academia,"Charles R. Qi, Li Yi, Hao Su, Leonidas J. Guibas",07/06/2017,2017,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,https://arxiv.org/abs/1706.02413,4.02E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
,Vision,Image super-resolution,Seoul National University,Academia,"Bee Lim, Sanghyun Son, Heewon Kim, Seungjun Nah, Kyoung Mu Lee",10/06/2017,2017,Enhanced Deep Residual Networks for Single Image Super-Resolution,https://arxiv.org/abs/1707.02921,3.07E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
HRA,Games,Ms Pacman,Microsoft Maluuba,Industry - Academia Collaboration (Industry leaning),"H Van Seijen, M Fatemi, J Romoff, R Laroche",13/06/2017,2017,Hybrid Reward Architecture for Reinforcement Learning,https://arxiv.org/abs/1706.04208,2.22E+02,,No,,,,,,,,,,,,,,,,,Industry,
DeepLabV3,Vision,Semantic segmentation,Google Inc,Industry,"Liang-Chieh Chen, Yukun Zhu, George Papandreou, Florian Schroff, Hartwig Adam",17/06/2017,2017,Rethinking Atrous Convolution for Semantic Image Segmentation,https://arxiv.org/abs/1706.05587,3.90E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Image generation,Johannes Kepler University Linz,Academia,"Martin Heusel, Hubert Ramsauer, Thomas Unterthiner, Bernhard Nessler, Günter Klambauer, Sepp Hochreiter",26/06/2017,2017,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,https://arxiv.org/abs/1706.08500v1,4.17E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
NoisyNet-Dueling,Games,Atari Games,DeepMind,Industry,"M Fortunato, MG Azar, B Piot, J Menick",30/06/2017,2017,Noisy Networks for Exploration,https://arxiv.org/abs/1706.10295v3,4.80E+02,SOTA improvement,Yes,,,,,,,,,,,,,,,,,Industry,
ShuffleNet v1,Vision,,Megvii Inc,Industry,"X Zhang, X Zhou, M Lin, J Sun",03/07/2017,2017,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,https://arxiv.org/abs/1707.01083,2.78E+03,Highly cited,Yes,2.43E+06,,,,,1.40E+08,,,,,,,,,,,Industry,
NASNet-A,Vision,Image classification,Google Brain,Industry,"B Zoph, V Vasudevan, J Shlens",21/07/2017,2017,Learning Transferable Architectures for Scalable Image Recognition,https://arxiv.org/abs/1707.07012,3.10E+03,Highly cited,Yes,8.90E+07,,,,,,,,,,,,,,,,Industry,
,Vision,Image segmentation,Chinese University of Hong Kong,Industry - Academia Collaboration (Academia leaning),"Hengshuang Zhao, Jianping Shi, Xiaojuan Qi, Xiaogang Wang, Jiaya Jia",21/07/2017,2017,Pyramid Scene Parsing Network,https://ieeexplore.ieee.org/document/8100143,6.07E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
RetinaNet-R50,Vision,Object detection,Facebook AI research,Industry,"TY Lin, P Goyal, R Girshick, K He",07/08/2017,2017,Focal loss for dense object detection,https://arxiv.org/abs/1708.02002,8.42E+03,Highly cited,Yes,3.40E+07,,,,,9.70E+10,,,,,,,,,,,Industry,
RetinaNet-R101,Vision,Object detection,Facebook AI research,Industry,"TY Lin, P Goyal, R Girshick, K He",07/08/2017,2017,Focal loss for dense object detection,https://arxiv.org/abs/1708.02002,8.42E+03,Highly cited,Yes,5.30E+07,,,,,1.27E+11,,,,,,,,,,,Industry,
,Vision,Image classification,"University of Guelph, Canadian Institute for Advanced Research and Vector Institute",Industry - Academia Collaboration," Terrance DeVries, Graham W. Taylor",15/08/2017,2017,Improved Regularization of Convolutional Neural Networks with Cutout,https://arxiv.org/abs/1708.04552,1.45E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
NeuMF (Pinterest),Recommendation,Collaborative filtering,"NUS, Columbia, Shandong University, Texas A&M",Academia,"X He, L Liao, H Zhang, L Nie, X Hu",16/08/2017,2017,Neural Collaborative Filtering,https://arxiv.org/abs/1708.05031,2.43E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
SENet (ImageNet),Vision,Image classification,Chinese Academy of Sciences ; University of Oxford,Academia,"Jie Hu, Li Shen, Samuel Albanie, Gang Sun, Enhua Wu",05/09/2017,2017,Squeeze-and-Excitation Networks,https://arxiv.org/abs/1709.01507,7.94E+03,Highly cited,Yes,2.81E+07,,ImageNet,,,3.87E+09,,,,,,,,,,,Academia,
,Vision,Person re-identification,University of Technology Sydney,Academia,"Zhedong Zheng, Liang Zheng, Yi Yang",22/10/2017,2017,Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in vitro,https://arxiv.org/abs/1701.07717,1.40E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
CapsNet (MNIST),Vision,Character recognition,Google Brain,Industry,"S Sabour, N Frosst, GE Hinton",26/10/2017,2017,Dynamic Routing Between Capsules,https://arxiv.org/abs/1710.09829,2.74E+03,Highly cited,Yes,8.20E+06,,,,,,,,,,,,,,,,Industry,
CapsNet (MultiMNIST),Vision,Character recognition,Google Brain,Industry,"S Sabour, N Frosst, GE Hinton",26/10/2017,2017,Dynamic Routing Between Capsules,https://arxiv.org/abs/1710.09829,2.74E+03,Highly cited,Yes,1.14E+07,,,,,,,,,,,,,,,,Industry,
,Vision,Image generation,Nvidia,Industry,"Tero Karras, Timo Aila, Samuli Laine, Jaakko Lehtinen",27/10/2017,2017,"Progressive Growing of GANs for Improved Quality, Stability, and Variation",https://arxiv.org/abs/1710.10196,3.91E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Industry,
,Vision,Person re-identification,"Visual Computing Institute, Aachen University",Academia,"Alexander Hermans, Lucas Beyer, Bastian Leibe",21/11/2017,2017,In Defense of the Triplet Loss for Person Re-Identification,https://arxiv.org/abs/1703.07737,1.99E+03,Highly cited,Yes,,,,,,,,,,,,,,,,,Academia,
PNAS-net,Vision,Image classification,"Johns Hopkins University, Stanford, Google AI",Industry - Academia Collaboration (Industry leaning),"C Liu, B Zoph, M Neumann, J Shlens",02/12/2017,2017,Progressive Neural Architecture Search,https://arxiv.org/abs/1712.00559,1.15E+03,Highly cited,Yes,8.60E+07,,,,,,,,,,,,,,,,Industry,
GNMT,Language,Translation,Google,Industry,"Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V. Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, Jeff Klingner, Apurva Shah, Melvin Johnson, Xiaobing Liu, Łukasz Kaiser, Stephan Gouws, Yoshikiyo Kato, Taku Kudo, Hideto Kazawa, Keith Stevens, George Kurian, Nishant Patil, Wei Wang, Cliff Young, Jason Smith, Jason Riesa, Alex Rudnick, Oriol Vinyals, Greg Corrado, Macduff Hughes, Jeffrey Dean",26/09/2016,2016,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,https://research.google/pubs/pub45610/,4.50E+03,Highly cited,Yes,2.78E+08,6.90E+21,,3.60E+08,,,,,,,,,,307573.50,,,Industry,"Neural Machine Translation (NMT) is an end-to-end learning approach for automated translation, with the potential to overcome many of the weaknesses of conventional phrase-based translation systems. Unfortunately, NMT systems are known to be computationally expensive both in training and in translation inference. Also, most NMT systems have difficulty with rare words. These issues have hindered NMT's use in practical deployments and services, where both accuracy and speed are essential. In this work, we present GNMT, Google's Neural Machine Translation system, which attempts to address many of these issues. Our model consists of a deep LSTM network with 8 encoder and 8 decoder layers using attention and residual connections. To improve parallelism and therefore decrease training time, our attention mechanism connects the bottom layer of the decoder to the top layer of the encoder. To accelerate the final translation speed, we employ low-precision arithmetic during inference computations. To improve handling of rare words, we divide words into a limited set of common sub-word units (""wordpieces"") for both input and output. This method provides a good balance between the flexibility of ""character""-delimited models and the efficiency of ""word""-delimited models, naturally handles translation of rare words, and ultimately improves the overall accuracy of the system. Our beam search technique employs a length-normalization procedure and uses a coverage penalty, which encourages generation of an output sentence that is most likely to cover all the words in the source sentence. On the WMT'14 English-to-French and English-to-German benchmarks, GNMT achieves competitive results to state-of-the-art. Using a human side-by-side evaluation on a set of isolated simple sentences, it reduces translation errors by an average of 60% compared to Google's phrase-based production system."
NASv3 (CIFAR-10),Vision,,Google Brain,Industry,"Barret Zoph, Quoc V. Le",05/11/2016,2016,Neural Architecture Search with Reinforcement Learning,https://arxiv.org/abs/1611.01578,2.97E+03,Highly cited,Yes,3.74E+07,2.20E+21,,,39,,,,,,,,,13069.35,,,Industry,"Neural networks are powerful and flexible models that work well for many difficult learning tasks in image, speech and natural language understanding. Despite their success, neural networks are still hard to design. In this paper, we use a recurrent network to generate the model descriptions of neural networks and train this RNN with reinforcement learning to maximize the expected accuracy of the generated architectures on a validation set. On the CIFAR-10 dataset, our method, starting from scratch, can design a novel network architecture that rivals the best human-invented architecture in terms of test set accuracy. Our CIFAR-10 model achieves a test error rate of 3.65, which is 0.09 percent better and 1.05x faster than the previous state-of-the-art model that used a similar architectural scheme. On the Penn Treebank dataset, our model can compose a novel recurrent cell that outperforms the widely-used LSTM cell, and other state-of-the-art baselines. Our cell achieves a test set perplexity of 62.4 on the Penn Treebank, which is 3.6 perplexity better than the previous state-of-the-art model. The cell can also be transferred to the character language modeling task on PTB and achieves a state-of-the-art perplexity of 1.214."
